date,year,quarter_quarterly,state_id,domestic_hotel_guest,foreigner_hotel_guest,overall_hotel_guest
1569888000000,2019,4,11,1321040,131128,1452168
1569888000000,2019,4,12,1675782,732249,2408031
1569888000000,2019,4,13,507524,17552,525076
1569888000000,2019,4,14,2191393,3544422,5735815
1569888000000,2019,4,15,125853,20048,145901
1569888000000,2019,4,16,87908,50947,138855
1569888000000,2019,4,18,16679556,8137787,24817343
1569888000000,2019,4,19,14098634,7193304,21291938
1577836800000,2020,1,1,1230403,415194,1645597
1577836800000,2020,1,2,612420,371965,984385
1577836800000,2020,1,3,105268,3260,108528
1577836800000,2020,1,4,351321,179043,530364
1577836800000,2020,1,5,277099,60580,337679
1577836800000,2020,1,6,2012293,460927,2473220
1577836800000,2020,1,7,402904,52522,455426
1577836800000,2020,1,8,32961,870,33831
1577836800000,2020,1,9,637284,506044,1143328
1577836800000,2020,1,10,706566,457946,1164512
1577836800000,2020,1,11,760738,86320,847058
1577836800000,2020,1,12,633742,260822,894564
1577836800000,2020,1,13,288522,17127,305649
1577836800000,2020,1,14,1470622,1561885,3032507
1577836800000,2020,1,15,98258,14069,112327
1577836800000,2020,1,16,54070,16126,70196
1577836800000,2020,1,18,9674471,4464701,14139172
1577836800000,2020,1,19,8108909,3906365,12015274
1585699200000,2020,2,1,381813,568,382381
1585699200000,2020,2,2,224180,421,224601
1585699200000,2020,2,3,39458,292,39750
1585699200000,2020,2,4,124967,651,125618
1585699200000,2020,2,5,78115,375,78490
1585699200000,2020,2,6,444945,3412,448357
1585699200000,2020,2,7,85300,180,85480
1585699200000,2020,2,8,10495,29,10524
1585699200000,2020,2,9,286203,3939,290142
1585699200000,2020,2,10,96132,8298,104430
1585699200000,2020,2,11,315128,1735,316863
1585699200000,2020,2,12,156742,10533,167275
1585699200000,2020,2,13,116562,284,116846
1585699200000,2020,2,14,310579,5960,316339
1585699200000,2020,2,15,47978,3421,51399
1585699200000,2020,2,16,38305,254,38559
1585699200000,2020,2,18,2756901,40352,2797253
1585699200000,2020,2,19,2297663,26898,2324561
1593561600000,2020,3,1,798424,863,799287
