date,year,quarter_quarterly,state_id,aor_quarter
1601510400000,2020,4,9,20.2
1601510400000,2020,4,10,12.4
1601510400000,2020,4,11,42.2
1601510400000,2020,4,12,28.5
1601510400000,2020,4,13,31.2
1601510400000,2020,4,14,20.4
1601510400000,2020,4,15,37.1
1601510400000,2020,4,16,24.4
1601510400000,2020,4,18,28.7
1609459200000,2021,1,1,18.2
1609459200000,2021,1,2,14.2
1609459200000,2021,1,3,23.9
1609459200000,2021,1,4,18.4
1609459200000,2021,1,5,17.3
1609459200000,2021,1,6,24.4
1609459200000,2021,1,7,19.1
1609459200000,2021,1,8,21.9
1609459200000,2021,1,9,15.8
1609459200000,2021,1,10,12.4
1609459200000,2021,1,11,48.1
1609459200000,2021,1,12,24.3
1609459200000,2021,1,13,24.8
1609459200000,2021,1,14,19.0
1609459200000,2021,1,15,33.7
1609459200000,2021,1,16,23.7
1609459200000,2021,1,18,23.8
1617235200000,2021,2,1,17.2
1617235200000,2021,2,2,10.8
1617235200000,2021,2,3,17.9
1617235200000,2021,2,4,13.7
1617235200000,2021,2,5,13.3
1617235200000,2021,2,6,20.7
1617235200000,2021,2,7,11.7
1617235200000,2021,2,8,12.7
1617235200000,2021,2,9,13.0
1617235200000,2021,2,10,12.5
1617235200000,2021,2,11,49.7
1617235200000,2021,2,12,27.0
1617235200000,2021,2,13,29.5
1617235200000,2021,2,14,15.8
1617235200000,2021,2,15,29.5
1617235200000,2021,2,16,25.2
1617235200000,2021,2,18,22.5
1625097600000,2021,3,1,15.5
1625097600000,2021,3,2,8.1
1625097600000,2021,3,3,36.3
1625097600000,2021,3,4,11.8
1625097600000,2021,3,5,12.8
1625097600000,2021,3,6,4.1
1625097600000,2021,3,7,11.5
1625097600000,2021,3,8,8.0
1625097600000,2021,3,9,6.9
1625097600000,2021,3,10,8.7
1625097600000,2021,3,11,50.9
1625097600000,2021,3,12,25.7
1625097600000,2021,3,13,44.0
1625097600000,2021,3,14,15.2
1625097600000,2021,3,15,20.9
1625097600000,2021,3,16,17.9
1625097600000,2021,3,18,19.2
1633046400000,2021,4,1,39.6
1633046400000,2021,4,2,47.6
1633046400000,2021,4,3,51.2
1633046400000,2021,4,4,41.9
1633046400000,2021,4,5,48.6
1633046400000,2021,4,6,30.7
1633046400000,2021,4,7,48.2
1633046400000,2021,4,8,45.3
1633046400000,2021,4,9,51.9
1633046400000,2021,4,10,38.8
1633046400000,2021,4,11,49.8
1633046400000,2021,4,12,42.5
1633046400000,2021,4,13,67.6
1633046400000,2021,4,14,37.4
1633046400000,2021,4,15,26.3
1633046400000,2021,4,16,44.9
1633046400000,2021,4,18,42.4
1640995200000,2022,1,1,35.3
1640995200000,2022,1,2,36.8
1640995200000,2022,1,3,45.5
1640995200000,2022,1,4,33.6
1640995200000,2022,1,5,31.4
1640995200000,2022,1,6,47.0
1640995200000,2022,1,7,40.2
1640995200000,2022,1,8,39.2
1640995200000,2022,1,9,37.5
1640995200000,2022,1,10,33.3
1640995200000,2022,1,11,43.5
1640995200000,2022,1,12,41.1
1640995200000,2022,1,13,58.6
1640995200000,2022,1,14,30.1
1640995200000,2022,1,15,38.9
1640995200000,2022,1,16,50.8
1640995200000,2022,1,18,39.8
1648771200000,2022,2,1,45.6
1648771200000,2022,2,2,40.4
1648771200000,2022,2,3,47.5
1648771200000,2022,2,4,38.8
1648771200000,2022,2,5,34.8
1648771200000,2022,2,6,69.3
1648771200000,2022,2,7,46.1
1648771200000,2022,2,8,34.9
1648771200000,2022,2,9,41.8
1648771200000,2022,2,10,37.0
1648771200000,2022,2,11,45.1
1648771200000,2022,2,12,43.4
1648771200000,2022,2,13,51.9
1648771200000,2022,2,14,45.3
1648771200000,2022,2,15,33.9
1648771200000,2022,2,16,41.1
1648771200000,2022,2,18,46.8
1656633600000,2022,3,1,49.3
1656633600000,2022,3,2,45.7
1656633600000,2022,3,3,48.0
1656633600000,2022,3,4,40.6
1656633600000,2022,3,5,35.9
1656633600000,2022,3,6,64.2
1656633600000,2022,3,7,50.3
1656633600000,2022,3,8,36.0
1656633600000,2022,3,9,51.1
1656633600000,2022,3,10,52.6
1656633600000,2022,3,11,50.9
1656633600000,2022,3,12,48.7
1656633600000,2022,3,13,57.3
1656633600000,2022,3,14,52.8
1656633600000,2022,3,15,38.3
1656633600000,2022,3,16,52.7
1656633600000,2022,3,18,51.7
1664582400000,2022,4,1,52.6
1664582400000,2022,4,2,47.7
1664582400000,2022,4,3,39.1
1664582400000,2022,4,4,46.6
