date,year,quarter_cumulative,state_id,aor_cumulative
1593561600000,2020,3,18,31.6
1601510400000,2020,5,1,32.0
1601510400000,2020,5,2,26.1
1601510400000,2020,5,3,34.6
1601510400000,2020,5,4,20.0
1601510400000,2020,5,5,25.5
1601510400000,2020,5,6,40.7
1601510400000,2020,5,7,25.8
1601510400000,2020,5,8,22.5
1601510400000,2020,5,9,23.7
1601510400000,2020,5,10,24.3
1601510400000,2020,5,11,30.3
1601510400000,2020,5,12,30.2
1601510400000,2020,5,13,32.4
1601510400000,2020,5,14,25.1
1601510400000,2020,5,15,43.0
1601510400000,2020,5,16,40.6
1601510400000,2020,5,18,30.9
1609459200000,2021,1,1,18.2
1609459200000,2021,1,2,14.2
1609459200000,2021,1,3,23.9
1609459200000,2021,1,4,18.4
1609459200000,2021,1,5,17.3
1609459200000,2021,1,6,24.4
1609459200000,2021,1,7,19.1
1609459200000,2021,1,8,21.9
1609459200000,2021,1,9,15.8
1609459200000,2021,1,10,12.4
1609459200000,2021,1,11,48.1
1609459200000,2021,1,12,24.3
1609459200000,2021,1,13,24.8
1609459200000,2021,1,14,19.0
1609459200000,2021,1,15,33.7
1609459200000,2021,1,16,23.7
1609459200000,2021,1,18,23.8
1617235200000,2021,2,1,17.8
1617235200000,2021,2,2,13.5
1617235200000,2021,2,3,21.3
1617235200000,2021,2,4,15.9
1617235200000,2021,2,5,15.6
1617235200000,2021,2,6,23.1
1617235200000,2021,2,7,16.3
1617235200000,2021,2,8,15.6
1617235200000,2021,2,9,14.4
1617235200000,2021,2,10,12.4
1617235200000,2021,2,11,48.9
1617235200000,2021,2,12,25.8
1617235200000,2021,2,13,27.6
1617235200000,2021,2,14,17.6
1617235200000,2021,2,15,31.8
1617235200000,2021,2,16,24.6
1617235200000,2021,2,18,23.2
1625097600000,2021,3,1,16.9
1625097600000,2021,3,2,11.6
1625097600000,2021,3,3,27.4
1625097600000,2021,3,4,14.8
1625097600000,2021,3,5,14.6
1625097600000,2021,3,6,13.5
1625097600000,2021,3,7,15.0
1625097600000,2021,3,8,13.0
1625097600000,2021,3,9,11.9
1625097600000,2021,3,10,10.8
1625097600000,2021,3,11,49.6
1625097600000,2021,3,12,26.8
1625097600000,2021,3,13,35.5
1625097600000,2021,3,14,16.9
1625097600000,2021,3,15,28.4
1625097600000,2021,3,16,21.4
1625097600000,2021,3,18,21.8
1633046400000,2021,5,1,24.9
1633046400000,2021,5,2,23.2
1633046400000,2021,5,3,34.3
1633046400000,2021,5,4,25.8
1633046400000,2021,5,5,22.7
1633046400000,2021,5,6,19.6
1633046400000,2021,5,7,27.6
1633046400000,2021,5,8,22.3
1633046400000,2021,5,9,22.5
1633046400000,2021,5,10,21.8
1633046400000,2021,5,11,49.6
1633046400000,2021,5,12,30.9
1633046400000,2021,5,13,44.3
1633046400000,2021,5,14,23.6
1633046400000,2021,5,15,27.7
1633046400000,2021,5,16,28.1
1633046400000,2021,5,18,28.2
1640995200000,2022,1,1,35.3
1640995200000,2022,1,2,36.8
1640995200000,2022,1,3,45.5
1640995200000,2022,1,4,33.6
1640995200000,2022,1,5,31.4
1640995200000,2022,1,6,47.0
1640995200000,2022,1,7,40.2
1640995200000,2022,1,8,39.2
1640995200000,2022,1,9,37.5
1640995200000,2022,1,10,33.3
1640995200000,2022,1,11,43.5
1640995200000,2022,1,12,41.1
1640995200000,2022,1,13,58.6
1640995200000,2022,1,14,30.1
1640995200000,2022,1,15,38.9
1640995200000,2022,1,16,50.8
1640995200000,2022,1,18,39.8
1648771200000,2022,2,1,42.0
1648771200000,2022,2,2,38.4
1648771200000,2022,2,3,46.6
1648771200000,2022,2,4,36.4
1648771200000,2022,2,5,33.4
1648771200000,2022,2,6,57.6
1648771200000,2022,2,7,42.9
1648771200000,2022,2,8,37.1
1648771200000,2022,2,9,39.6
1648771200000,2022,2,10,35.4
1648771200000,2022,2,11,45.1
1648771200000,2022,2,12,42.6
1648771200000,2022,2,13,55.2
1648771200000,2022,2,14,38.5
1648771200000,2022,2,15,35.2
1648771200000,2022,2,16,44.0
1648771200000,2022,2,18,43.6
1656633600000,2022,3,1,45.0
1656633600000,2022,3,2,41.0
1656633600000,2022,3,3,47.1
1656633600000,2022,3,4,37.9
1656633600000,2022,3,5,34.2
1656633600000,2022,3,6,60.0
1656633600000,2022,3,7,45.5
1656633600000,2022,3,8,36.7
1656633600000,2022,3,9,43.7
1656633600000,2022,3,10,41.5
1656633600000,2022,3,11,46.6
1656633600000,2022,3,12,44.7
1656633600000,2022,3,13,55.9
1656633600000,2022,3,14,44.3
1656633600000,2022,3,15,36.3
1656633600000,2022,3,16,48.0
1656633600000,2022,3,18,46.6
1664582400000,2022,5,1,48.3
1664582400000,2022,5,2,32.5
1664582400000,2022,5,3,46.4
1664582400000,2022,5,4,40.1
1664582400000,2022,5,5,38.7
1664582400000,2022,5,6,46.1
1664582400000,2022,5,7,54.8
1664582400000,2022,5,8,42.0
1664582400000,2022,5,9,44.1
1664582400000,2022,5,10,45.2
1664582400000,2022,5,11,57.4
1664582400000,2022,5,12,53.7
1664582400000,2022,5,13,55.3
1664582400000,2022,5,14,49.0
1664582400000,2022,5,15,35.3
1664582400000,2022,5,16,51.2
1664582400000,2022,5,18,46.7
1672531200000,2023,1,1,45.9
1672531200000,2023,1,2,42.5
1672531200000,2023,1,3,43.3
1672531200000,2023,1,4,43.4
1672531200000,2023,1,5,37.3
1672531200000,2023,1,6,70.0
1672531200000,2023,1,7,43.4
1672531200000,2023,1,8,43.6
1672531200000,2023,1,9,47.0
1672531200000,2023,1,10,46.2
1672531200000,2023,1,11,41.6
1672531200000,2023,1,12,47.2
1672531200000,2023,1,13,44.9
1672531200000,2023,1,14,58.1
1672531200000,2023,1,15,30.9
1672531200000,2023,1,16,54.4
1672531200000,2023,1,18,50.1
1680307200000,2023,2,1,47.4
1680307200000,2023,2,2,41.5
1680307200000,2023,2,3,41.9
1680307200000,2023,2,4,41.9
1680307200000,2023,2,5,36.8
1680307200000,2023,2,6,72.9
1680307200000,2023,2,7,44.0
1680307200000,2023,2,8,40.2
1680307200000,2023,2,9,49.2
1680307200000,2023,2,10,46.3
1680307200000,2023,2,11,41.9
1680307200000,2023,2,12,47.1
1680307200000,2023,2,13,44.5
1680307200000,2023,2,14,57.3
1680307200000,2023,2,15,31.2
1680307200000,2023,2,16,54.0
1680307200000,2023,2,18,50.5
1688169600000,2023,3,1,49.6
1688169600000,2023,3,2,42.0
1688169600000,2023,3,3,41.9
1688169600000,2023,3,4,43.1
1688169600000,2023,3,5,39.5
1688169600000,2023,3,6,73.3
1688169600000,2023,3,7,45.2
1688169600000,2023,3,8,40.2
1688169600000,2023,3,9,50.9
1688169600000,2023,3,10,48.3
1688169600000,2023,3,11,43.8
1688169600000,2023,3,12,49.2
1688169600000,2023,3,13,43.7
1688169600000,2023,3,14,57.5
1688169600000,2023,3,15,32.8
1688169600000,2023,3,16,53.7
1688169600000,2023,3,18,51.6
1696118400000,2023,5,1,50.7
1696118400000,2023,5,2,43.4
1696118400000,2023,5,3,41.2
1696118400000,2023,5,4,44.7
1696118400000,2023,5,5,41.0
1696118400000,2023,5,6,74.1
1696118400000,2023,5,7,47.3
1696118400000,2023,5,8,42.2
1696118400000,2023,5,9,52.9
1696118400000,2023,5,10,49.0
1696118400000,2023,5,11,46.0
1696118400000,2023,5,12,49.9
1696118400000,2023,5,13,44.8
1696118400000,2023,5,14,59.1
1696118400000,2023,5,15,33.3
1696118400000,2023,5,16,55.0
1696118400000,2023,5,18,52.9
1704067200000,2024,1,1,46.6
1704067200000,2024,1,2,47.1
1704067200000,2024,1,3,45.2
1704067200000,2024,1,4,44.7
1704067200000,2024,1,5,39.3
1704067200000,2024,1,6,73.0
