date,year,quarter_cumulative,state_id,domestic_hotel_guest,foreigner_hotel_guest,overall_hotel_guest
1569888000000,2019,5,7,2623351,293256,2916607
1569888000000,2019,5,8,179724,5700,185424
1569888000000,2019,5,9,3541246,2848750,6389996
1569888000000,2019,5,10,4228391,3057376,7285767
1569888000000,2019,5,11,4306725,539599,4846324
1569888000000,2019,5,12,3548963,1866153,5415116
1569888000000,2019,5,13,1738426,179324,1917750
1569888000000,2019,5,14,7397154,10931619,18328773
1569888000000,2019,5,15,430038,75447,505485
1569888000000,2019,5,16,306920,178498,485418
1569888000000,2019,5,18,51093010,28836193,79929203
1569888000000,2019,5,19,42127856,25163771,67291627
1577836800000,2020,1,1,1230403,415194,1645597
1577836800000,2020,1,2,612420,371965,984385
1577836800000,2020,1,3,105268,3260,108528
1577836800000,2020,1,4,351321,179043,530364
1577836800000,2020,1,5,277099,60580,337679
1577836800000,2020,1,6,2012293,460927,2473220
1577836800000,2020,1,7,402904,52522,455426
1577836800000,2020,1,8,32961,870,33831
1577836800000,2020,1,9,637284,506044,1143328
1577836800000,2020,1,10,706566,457946,1164512
1577836800000,2020,1,11,760738,86320,847058
1577836800000,2020,1,12,633742,260822,894564
1577836800000,2020,1,13,288522,17127,305649
1577836800000,2020,1,14,1470622,1561885,3032507
1577836800000,2020,1,15,98258,14069,112327
1577836800000,2020,1,16,54070,16126,70196
1577836800000,2020,1,18,9674471,4464701,14139172
1577836800000,2020,1,19,8108909,3906365,12015274
1585699200000,2020,2,1,1612216,415762,2027978
1585699200000,2020,2,2,836600,372386,1208986
1585699200000,2020,2,3,144726,3552,148278
1585699200000,2020,2,4,476288,179694,655982
1585699200000,2020,2,5,355214,60955,416169
1585699200000,2020,2,6,2457238,464339,2921577
1585699200000,2020,2,7,488203,52702,540905
1585699200000,2020,2,8,42153,899,43052
1585699200000,2020,2,9,923487,511129,1434616
1585699200000,2020,2,10,802697,466244,1268941
1585699200000,2020,2,11,1075866,88055,1163921
1585699200000,2020,2,12,790483,275028,1065511
1585699200000,2020,2,13,405084,17411,422495
1585699200000,2020,2,14,1781201,1567845,3349046
1585699200000,2020,2,15,146236,17490,163726
1585699200000,2020,2,16,92375,16380,108755
1585699200000,2020,2,18,12430068,4509871,16939939
1585699200000,2020,2,19,10405269,3938082,14343351
1593561600000,2020,3,1,2410640,416625,2827265
1593561600000,2020,3,2,1570750,374191,1944941
1593561600000,2020,3,3,455905,4216,460121
1593561600000,2020,3,4,955651,180079,1135730
1593561600000,2020,3,5,810262,62062,872324
1593561600000,2020,3,6,4947016,498507,5445523
1593561600000,2020,3,7,821117,53501,874618
1593561600000,2020,3,8,81622,980,82602
1593561600000,2020,3,9,1666948,519390,2186338
1593561600000,2020,3,10,1155289,482746,1638035
1593561600000,2020,3,11,1826258,93963,1920221
1593561600000,2020,3,12,1283600,289285,1572885
1593561600000,2020,3,13,994382,18808,1013190
1593561600000,2020,3,14,3384538,1572097,4956635
1593561600000,2020,3,15,210216,20034,230250
1593561600000,2020,3,16,147996,20433,168429
1593561600000,2020,3,18,22722190,4606917,27329107
1593561600000,2020,3,19,19530427,4010174,23540601
1601510400000,2020,5,1,3472179,418237,3890416
1601510400000,2020,5,2,2118912,375582,2494494
1601510400000,2020,5,3,556340,4520,560860
1601510400000,2020,5,4,1262949,180422,1443371
1601510400000,2020,5,5,980525,66437,1046962
1601510400000,2020,5,6,6784431,517572,7302003
1601510400000,2020,5,7,1128553,55135,1183688
1601510400000,2020,5,8,126013,1113,127126
1601510400000,2020,5,9,2336054,526295,2862349
1601510400000,2020,5,10,1311390,486344,1797734
1601510400000,2020,5,11,2709100,100257,2809357
1601510400000,2020,5,12,1653005,322618,1975623
1601510400000,2020,5,13,1325099,19796,1344895
1601510400000,2020,5,14,4514383,1584088,6098471
1601510400000,2020,5,15,251661,21737,273398
1601510400000,2020,5,16,173400,20874,194274
1601510400000,2020,5,18,30703994,4701027,35405021
1601510400000,2020,5,19,26431843,4092689,30524532
1609459200000,2021,1,1,47888,1233,49121
